"","Err","Total","CT","ORIGIN"
"1","303000",1210521,"2015-06-03",0
"2","303000",1206314,"2015-05-24",0
"3","303000",1173747,"2015-05-30",0
"4","208000",1168552,"2015-06-23",0
"5","303000",1151690,"2015-06-02",0
"6","303000",1145343,"2015-06-23",0
"7","208000",1131443,"2015-06-03",0
"8","303000",1118840,"2015-06-19",0
"9","303000",1110614,"2015-06-01",0
"10","208000",1104441,"2015-06-21",0
"11","303000",1089612,"2015-06-21",0
"12","303000",1071716,"2015-05-28",0
"13","208000",1061947,"2015-06-02",0
"14","208000",1029273,"2015-05-24",0
"15","208000",1027151,"2015-06-19",0
"16","208000",1024777,"2015-06-01",0
"17","303000",965486,"2015-06-20",0
"18","208000",955910,"2015-05-30",0
"19","208000",947966,"2015-05-28",0
"20","303000",937130,"2015-05-29",0
"21","303000",930968,"2015-05-27",0
"22","303000",918935,"2015-05-31",0
"23","303000",913192,"2015-05-21",0
"24","208000",911912,"2015-06-20",0
"25","303000",885295,"2015-05-23",0
"26","208000",863529,"2015-06-22",0
"27","208000",857890,"2015-05-21",0
"28","303000",848932,"2015-06-22",0
"29","208000",824046,"2015-05-29",0
"30","208000",808297,"2015-05-31",0
"31","208000",784253,"2015-05-23",0
"32","208000",766940,"2015-05-27",0
"33","303000",596941,"2015-05-22",0
"34","208000",520233,"2015-05-22",0
"35","208000",350188,"2015-05-24",1
"36","208000",334555,"2015-05-30",1
"37","208000",246012,"2015-05-27",1
"38","208000",220552,"2015-05-23",1
"39","208000",218891,"2015-05-28",1
"40","208000",218648,"2015-06-02",1
"41","208000",215694,"2015-06-03",1
"42","208000",210310,"2015-05-21",1
"43","208000",202175,"2015-05-29",1
"44","208000",198129,"2015-05-31",1
"45","208000",195912,"2015-06-19",1
"46","208000",184074,"2015-06-01",1
"47","208000",183991,"2015-06-20",1
"48","208000",153892,"2015-05-22",1
"49","303000",135997,"2015-05-24",1
"50","303000",119120,"2015-05-21",1
"51","303000",97741,"2015-06-20",1
"52","303000",95879,"2015-06-03",1
"53","303000",87983,"2015-05-23",1
"54","303000",87114,"2015-06-02",1
"55","303000",81001,"2015-06-19",1
"56","303000",72416,"2015-05-30",1
"57","208000",67084,"2015-06-21",1
"58","303000",66212,"2015-06-01",1
"59","303000",65946,"2015-05-28",1
"60","303000",61538,"2015-05-22",1
"61","208000",60886,"2015-06-23",1
"62","303000",59614,"2015-05-31",1
"63","303000",58050,"2015-05-29",1
"64","303000",54027,"2015-05-27",1
"65","208000",46299,"2015-06-22",1
"66","303000",19669,"2015-06-21",1
"67","303000",18880,"2015-06-23",1
"68","303000",15937,"2015-06-22",1
