"","UID","REF","Total"
"1","1072943113640_9ohxk36918","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzhongguojunjihuihui%2Findex.shtml%3F_v_www4%2301c2dbdc-703a-4a40-9ff7-fd582b9a6b9c",20
"2","1304336311437_7873","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",14
"3","1339513454267_2491","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",4
"4","1344312969937_9246","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",17
"5","1344315922716_5635","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",9
"6","1345725459578_9481","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",36
"7","1377181549463_o9wwhi7916","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fxjpscjd%2Findex.shtml%3F_v_www4%2301ca4841-e646-46bd-919e-9401d2072322",7
"8","1379921502093_qeuuej4808","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_rec2%2301550450-6cbe-401e-ae83-1d8f802110fe",5
"9","1389026791468_p3pjer7931","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",4
"10","1392215907062_ne2bkz1142","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",10
"11","1392215907062_ne2bkz1142","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",14
"12","1392617773840_i9epa75115","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",19
"13","1393074026015_san8ce7387","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",3
"14","1393642075722_vdw4bu9887","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",29
"15","1394522816078_e9oetz9362","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",23
"16","1396325448437_gqldp23298","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_rec2%2301092031-850e-41e0-bc16-f2b07667a536",20
"17","1397048528593_aw2ft28305","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",21
"18","1397651171456_hjdkyb9477","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",19
"19","1400110285537_pmz4y36211","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",14
"20","1401704118117_i6g4a94767","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",5
"21","1402780662115_xybf6k5324","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",7
"22","1407894050568_asni748188","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",43
"23","1408510206047_8ijmtb4252","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",5
"24","1408714801437_2hug84453","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",27
"25","1409464007427_fp3wss2543","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",2
"26","1409646828234_yxy7m42193","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",24
"27","1410236132468_5mg7dm3729","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",32
"28","1410381893623_aceja94800","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",13
"29","1411375413348_7wtf571101","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",11
"30","1411440008132_1sm2ij3871","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",16
"31","1411524291421_t0ykt76072","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",18
"32","1411604268856_p0utbu7863","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",12
"33","1411615344627_6r5orq8405","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",18
"34","1413122536210_dbzpnl4962","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",12
"35","1413869181918_1f0z001696","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",8
"36","1414851399335_l5fei4837","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",28
"37","1415013858603_yjkc227122","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",9
"38","1415150283577_jbj6p89180","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",18
"39","1415954719373_iwwe1y1195","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgrnojj0137%2Findex.shtml%3F_v_www4%230135a123-4f87-469f-a643-88478ac34dea",8
"40","1417247585140_vj6hdp8892","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",8
"41","1418006893914_brgbwx7633","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",12
"42","1418812966242_yurmyu1153","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",3
"43","1419082381012_2uyil3762","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",16
"44","1419382739109_e54xug7689","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",21
"45","1419480559743_1h2p452652","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",12
"46","1419750335041_j43iu6678","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fbaipishu%2Findex.shtml",19
"47","1419997345625_cbo9m827","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",9
"48","1420031150334_a8gln96089","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",6
"49","1420180965626_cpcsrn4611","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",49
"50","1420602936307_n4aviq4737","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",15
"51","1420810959265_1gkwy02228","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",28
"52","1420853849412_ne4u521759","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",13
"53","1421146925890_dqhjyb4457","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzlbxd%2Findex.shtml%23_v_www4%23010944eb-886e-42bc-b64f-ec69f4b4421b",2
"54","1421164451171_ated618217","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",11
"55","1421257930561_8pos9m4121","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0%23_v_zm",21
"56","1421835506875_6fsdun6828","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",18
"57","1422111469000_lb506n7988","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",18
"58","1422244883546_udou14633","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",17
"59","1422595585585_daex364796","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",7
"60","1422693935167_e66uep5590","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",8
"61","1422791852406_aqzydy5819","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",9
"62","1423279280319_sbrx7w7985","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",12
"63","1423365993471_f9dgcq9242","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fbaipishu%2Findex.shtml%2301003a1e-2991-4db4-9bed-df01927733d3",27
"64","1423386434354_xjhq0f4200","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",7
"65","1423536936534_vno7sl4346","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",33
"66","1423803595134_iioem26781","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",13
"67","1423820344841_dcj0fl4787","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",15
"68","1424137396953_75o1y33014","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",16
"69","1424177366078_p5d5tx4069","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%3F_v_rec2%23014568cc-7836-4441-8090-504107bfe42b",2
"70","1424306697625_g14pkm4267","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",27
"71","1424526668937_fgr4c68741","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",17
"72","1424781569875_tpzbvq6767","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",20
"73","1424954159422_h5xysc4155","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fduodao%2Findex.shtml%3F_v_www4%2301277829-042f-48d6-96b1-e8f4ba2d2c31",7
