"","UID","REF","Total"
"74","1425004353963_x4zc5y669","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",43
"75","1425114816375_o0w1a13968","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",10
"76","1425455250291_xx98vu284","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",5
"77","1425712156884_eol36l5513","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",11
"78","1425881248358_2nv4mo810","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",16
"79","1425892611956_6axt9d656","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",6
"80","1426249543875_51bnpd9640","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",6
"81","1426691431496_hamt2d3440","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",30
"82","1427084362918_t19zsg4054","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",19
"83","1427186608781_mg4te69999","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",30
"84","1427208126589_cg8bxk2177","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",17
"85","1427244697491_wjlxfc678","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fbaipishu%2Findex.shtml",10
"86","1427259264647_8ga68o2973","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",40
"87","1427442057172_bybu933070","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",27
"88","1427615420798_6dbl828409","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",9
"89","1427775322561_wfjmmn4338","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",16
"90","1427943099877_3erfhf7322","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",35
"91","1427946549094_adf3a2397","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",16
"92","1428368059203_geujyw9224","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",7
"93","1428466950000_r3lu504297","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",14
"94","1428481610890_d6odbj7346","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzhongguojunjihuihui%2Findex.shtml%3F_v_www4%2301c2dbdc-703a-4a40-9ff7-fd582b9a6b9c",5
"95","1428502039360_fpy5y29386","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",6
"96","1428538826656_289hmm7304","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",8
"97","1428585561064_r8esnz2048","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",6
"98","1428822550218_6s31zl6927","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",24
"99","1428904611948_2jbkz71037","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",12
"100","1428972049282_nptug56361","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",14
"101","1429177792442_fiku375146","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",3
"102","1429181804085_uu80fg2100","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",7
"103","1429181804085_uu80fg2100","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",5
"104","1429230322011_wuhoj38426","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",10
"105","1429398061015_7ew4nw6856","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnh%2Findex.shtml%3F_v_www4%23016aa58e-4fdf-43f8-9c3c-dafbfe89aaff",22
"106","1429449389537_ygrzva9304","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flagxwxq%2Findex.shtml%3F_v_www4%2301400292-bff1-4144-99d0-f3efd0c44515",14
"107","1429454455585_7jy7v48731","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",4
"108","1429726186502_ey3s221816","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",19
"109","1429849643510_l0x6vf6490","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",10
"110","1429932669220_j2modg8688","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",13
"111","1430113104724_mj802l912","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",13
"112","1430439990546_ktned7615","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",17
"113","1430646352405_9zq4yd8340","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",16
"114","1430649761075_mmr3y47953","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_rec2%2301092031-850e-41e0-bc16-f2b07667a536",7
"115","1430653361840_cts1ux3778","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_rec2%2301092031-850e-41e0-bc16-f2b07667a536",6
"116","1430920449189_8oarqf1877","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",41
"117","1430922149133_22dwc78213","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",8
"118","1431097652954_3kpikv2093","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_rec2%2301550450-6cbe-401e-ae83-1d8f802110fe",20
"119","1431131858617_s4toqf5280","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_rec2%2301378968-1901-417f-88e5-b90ab9213c8b",9
"120","1431133698588_z86ef07649","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",4
"121","1431240728057_7kfmxk1892","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",6
"122","1431261390925_kohg794796","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_rec2%2301550450-6cbe-401e-ae83-1d8f802110fe",3
"123","1431475839406_4xm7wp9626","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",7
"124","1431513305984_5rl5jj6528","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%23015dc978-36a3-4a44-b7e0-950ec32aec0b",8
"125","1431560474647_5lhq967345","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",1
"126","1431756401714_qjj2yk6724","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjzl2256%2Findex.shtml%23012f91fd-782c-40a8-8ff4-e208848c34d0",10
"127","1431919377312_va7jps7645","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",6
"128","1431959903709_95xcuu642","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",9
"129","1432025549328_rpaxdd7781","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_www4%2301092031-850e-41e0-bc16-f2b07667a536",37
"130","1432127219718_kgu2xl839","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",35
"131","1432129993016_34sk6a9954","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",4
"132","1432188246637_dkh1w27000","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",26
"133","1432255531803_a8yrcw689","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Flszh0005%2Findex.shtml%3F_v_rec2%2301092031-850e-41e0-bc16-f2b07667a536",23
"134","1432273829786_vq2ai99133","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",9
"135","1432285659354_p9u8rj6383","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhuangshengyi%2Findex.shtml%3F_v_www4%2301b84af8-3a6b-4ac8-824e-2a60a18ce0b2",3
"136","1432294925457_127yiy4526","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301dba453-f7c8-436d-8626-21dc81aaafb4",12
"137","1432391183150_f5jphi6754","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmyjtmfs%2Findex.shtml%3F_v_www4%2301378968-1901-417f-88e5-b90ab9213c8b",8
"138","1432394861890_pz836j4938","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fjfjhc%2Findex.shtml%3F_v_www4%2301550450-6cbe-401e-ae83-1d8f802110fe",14
