IP		    		total
14.29.123.42	    2
14.29.123.45	    2
157.122.180.41	    2
159.226.110.21	    2
171.116.24.252	    2
171.118.17.240	    2
171.122.104.194	    2
171.82.224.9	    2
171.83.82.187	    2
175.150.158.95	    2
175.17.6.104	    2
175.25.162.28	    2
175.51.171.176	    2
180.109.156.124	    2
180.114.220.150	    2
180.166.17.174	    2
182.145.114.75	    2
182.146.76.19	    2
182.200.9.28	    2
182.88.133.21	    2
183.10.100.149	    2
183.131.105.129	    2
183.131.105.137	    2
183.131.105.21	    2
183.131.105.3	    2
183.131.105.30	    2
183.131.105.65	    2
183.131.105.70	    2
183.131.105.71	    2
183.131.105.99	    2
183.188.49.160	    2
183.203.214.2	    2
183.63.222.98	    2
202.102.151.188	    2
202.107.198.238	    2
202.110.130.21	    2
202.97.158.84	    2
202.99.253.46	    2
203.152.92.3	    2
203.93.208.69	    2
210.21.47.164	    2
210.75.218.34	    2
211.138.60.19	    2
211.140.199.80	    2
211.142.247.90	    2
218.1.37.194	    2
218.106.96.20	    2
218.11.179.96	    2
218.2.110.138	    2
218.205.207.18	    2
218.21.42.110	    2
218.22.141.124	    2
218.23.121.139	    2
218.24.4.108	    2
218.242.43.202	    2
218.25.171.56	    2
218.26.119.139	    2
218.26.206.164	    2
218.27.132.137	    2
218.3.51.180	    2
218.56.157.16	    2
218.64.179.137	    2
218.81.96.90	    2
218.84.125.160	    2
218.94.64.62	    2
218.95.230.194	    2
219.132.79.195	    2
219.139.190.243	    2
219.139.32.171	    2
219.139.38.16	    2
219.150.71.163	    2
220.163.147.92	    2
220.170.15.26	    2
220.175.154.252	    2
220.191.226.8	    2
220.202.128.42	    2
220.248.237.132	    2
221.129.245.6	    2
221.182.19.100	    2
221.203.24.54	    2
221.203.39.83	    2
221.205.246.217	    2
221.224.122.162	    2
221.224.13.77	    2
221.229.88.172	    2
221.4.169.197	    2
221.4.249.50	    2
222.134.48.194	    2
222.134.51.132	    2
222.141.201.41	    2
222.161.205.7	    2
222.161.205.9	    2
222.161.213.156	    2
222.161.213.29	    2
222.161.249.55	    2
222.161.249.67	    2
222.174.51.146	    2
